University Name,Established Since,Sector,Chartered By,City,Province,Recognised University
"Ghazi University, Dera Ghazi Khan",2/11/2012,Public,Government of Punjab,Dera Ghazi Khan,Punjab,Yes
Ghulam Ishaq Khan Institute of Engineering Sciences & Technology,7/18/1994,Private,Government of Khyber Pakhtunkhwa,Abbottabad,Khyber Pakhtunkhwa,Yes
GIFT University,6/10/2004,Private,Government of Punjab,Gujranwala,Punjab,Yes
"Global Institute, Lahore [HEC-NOC SUSPENDED] (ADMISSIONS HAVE BEEN STOPPED BY HEC FROM FALL 2016)",1/22/2011,Private,Government of Punjab,Lahore,Punjab,Yes
Gomal University,12/2/1974,Public,Government of Khyber Pakhtunkhwa,Dera Ismail Khan,Khyber Pakhtunkhwa,Yes
"Government College for Women University, Faisalabad",1/5/2013,Public,Government of Pakistan,Faisalabad,Punjab,Yes
"Government College for Women University, Sialkot",4/23/2015,Public,Government of Punjab,Sialkot,Punjab,Yes
"Government College University, Faisalabad",10/19/2002,Public,Government of Punjab,Faisalabad,Punjab,Yes
"Government College University, Hyderabad",6/17/2019,Public,Government of Sindh,Hyderabad,Sindh,Yes
"Government College University, Lahore",9/10/2002,Public,Government of Punjab,Lahore,Punjab,Yes
Government Sadiq College Women University,5/25/2015,Public,Government of Punjab,Bahawal Pur,Punjab,Yes
Greenwich University,2/3/1998,Private,Government of Sindh,Karachi,Sindh,Yes
Habib University,10/8/2012,Private,Government of Sindh,Karachi,Sindh,Yes
Hajvery University,10/2/2002,Private,Government of Punjab,Lahore,Punjab,Yes
Hamdard University,2/22/1992,Private,Government of Sindh,Karachi,Sindh,Yes
Hazara University,5/14/1997,Public,Government of Khyber Pakhtunkhwa,Mansehra,Khyber Pakhtunkhwa,Yes
"Health Services Academy (HSA), Islamabad",5/24/2018,Public,Government of Pakistan,Islamabad,Islamabad Capital Territory,Yes
HITEC University,11/17/2009,Private,Government of Punjab,Rawalpindi,Punjab,Yes
"Ibadat International University, Islamabad",10/8/2021,Private,Government of Pakistan,Islamabad,Islamabad Capital Territory,Yes
"Ibn-e-Sina University, Mirpurkhas",7/22/2022,Private,Government of Sindh,Mirpur Khas,Sindh,Yes
ILMA University,1/12/2004,Private,Government of Sindh,Karachi,Sindh,Yes
Imperial College of Business Studies,4/10/2002,Private,Government of Punjab,Lahore,Punjab,Yes
Indus University,10/20/2004,Private,Government of Sindh,Karachi,Sindh,Yes
Indus Valley School of Art & Architecture,7/27/1994,Private,Government of Sindh,Karachi,Sindh,Yes
Information Technology University of the Punjab,9/10/2012,Public,Government of Punjab,Lahore,Punjab,Yes
Institute for Art and Culture,5/22/2018,Private,Government of Pakistan,Lahore,Punjab,Yes
